e,name,sum,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122
305,Nordrhein-Westfalen,307,9,3,-2,1,-3,9,9,4,4,4,-1,4,1,3,1,-1,2,9,9,4,0,0,-2,-1,1,0,9,4,1,9,-2,4,9,1,9,0,9,0,4,-1,9,-3,1,9,1,2,1,-3,9,3,-3,0,1,1,-3,9,0,1,0,1,1,2,3,9,4,1,4,1,0,0,1,2,9,4,0,0,0,1,-1,4,-1,2,-3,2,0,2,9,9,-3,9,0,0,9,0,4,1,4,3,-1,9,1,1,9,4,-1,1,4,-3,0,9,3,-2,3,4,0,-2,3,9,0,4,3,-2
306,Olst-Wijhe,187,-3,9,1,-3,4,4,-2,0,3,3,0,0,-2,1,-3,4,4,1,-1,-2,-1,2,9,1,9,4,1,9,0,4,2,-2,1,4,3,4,-3,-1,3,4,1,-1,-3,-2,3,4,4,0,1,-1,-2,1,1,2,0,4,-3,4,0,1,-1,-3,1,1,3,1,9,1,1,3,2,-3,1,1,3,-1,1,9,1,1,4,1,-2,4,1,1,4,4,0,0,9,1,3,1,4,0,4,2,-3,1,0,3,4,2,0,9,1,4,0,1,-2,3,3,1,1,9,-3,-3,0,3,-2,-2
307,Ommen,292,2,9,-3,4,9,1,9,2,4,9,9,-3,0,0,-3,0,4,4,9,9,1,-1,-2,0,-2,3,1,1,-2,-2,-1,1,1,1,1,9,-3,1,9,3,9,0,-3,0,1,4,4,4,9,9,4,1,9,-3,4,2,1,0,1,0,9,2,0,1,0,2,9,4,4,9,-2,-2,4,-2,4,4,1,2,9,4,9,1,0,3,9,4,3,-2,1,-3,3,-2,2,0,-3,4,2,9,-3,-1,4,-2,9,1,0,4,9,-3,1,-1,9,4,0,0,4,1,-1,0,2,1,4,-2
308,Raalte,211,1,1,0,3,0,-2,0,-2,1,0,-3,1,-3,4,2,-2,0,2,0,2,0,1,1,4,1,1,4,9,-2,0,4,1,2,-3,-2,1,4,-2,-2,4,4,0,4,3,-1,-3,1,1,1,2,4,1,3,1,1,1,4,0,1,9,1,4,0,1,1,1,4,9,-2,9,4,4,1,-1,-2,9,-2,0,9,0,4,0,2,2,9,9,1,-1,1,-1,2,0,4,1,1,3,1,1,-3,0,9,1,-1,9,0,4,3,1,-2,-1,4,1,4,1,9,-2,4,2,9,2,1,-1
309,Rijssen,315,-1,-3,1,-3,9,2,0,-1,4,9,0,1,3,9,4,3,-3,9,4,1,0,3,4,4,2,1,9,4,3,9,-1,9,0,4,1,4,0,1,-3,9,4,-1,-1,9,9,1,-2,1,4,1,9,4,-3,0,4,-2,2,9,1,3,4,9,4,4,4,1,4,9,4,9,4,3,4,-3,1,1,4,9,-2,1,0,9,0,1,1,0,3,3,1,3,-1,2,-3,2,2,4,9,0,0,1,-2,1,-3,0,1,2,9,3,-2,-3,1,-3,3,0,9,1,4,9,1,0,1,9
310,Staphorst,163,4,-1,-1,4,-2,0,3,0,-2,2,0,-3,2,1,-1,1,4,-1,0,1,2,1,0,0,1,-2,-2,2,4,4,1,1,3,-2,1,-3,-2,-3,-3,0,4,-3,2,0,9,4,9,1,0,-2,0,1,4,1,9,9,3,1,1,0,-1,4,4,0,0,3,1,1,2,4,9,0,0,0,3,9,0,3,0,4,-2,0,-2,3,1,-1,9,9,2,1,-3,1,-1,3,3,1,2,-1,2,1,-3,0,1,4,0,-1,4,3,-2,4,9,2,0,0,1,2,-2,3,1,-3,-1,0
311,Steenwijkerland,234,-3,-1,3,-1,-3,0,1,-2,-2,0,0,1,0,9,-2,-1,-3,1,4,3,-1,0,1,4,9,-2,9,0,3,3,0,1,2,1,-3,2,4,4,0,2,2,1,1,1,2,-2,1,-3,9,1,9,2,0,4,9,3,4,3,1,3,9,1,1,1,-3,3,-3,4,9,9,4,0,1,4,-1,9,4,1,1,1,0,1,3,1,3,9,0,1,1,2,-1,-2,9,4,-3,-1,3,4,4,-1,9,0,2,0,4,0,1,-1,3,4,2,-2,1,2,9,4,4,1,4,0,4,-3
312,Tubbergen,207,2,1,4,0,0,0,9,-2,1,-3,4,3,4,4,-1,0,9,1,-1,9,2,-1,2,9,-2,-3,-2,2,4,-2,-1,4,-3,1,4,4,-1,-1,3,1,-2,4,4,3,2,1,1,-3,0,0,4,4,-1,0,2,4,-3,0,1,2,9,1,-1,0,-1,9,3,4,9,4,9,-3,-3,1,-2,3,1,-3,-2,0,-3,1,-1,1,0,1,9,-2,3,1,1,0,3,-1,1,1,9,-3,9,9,1,-1,1,4,4,9,-1,9,-2,1,-1,-3,9,-3,-3,-1,1,4,4,9,1,1
313,Twenterand,209,-2,1,0,9,-3,0,3,-2,1,-2,-3,9,4,-3,-1,1,1,-3,1,0,1,2,4,9,-3,1,1,4,1,0,4,1,1,4,4,0,3,0,0,9,1,0,3,-3,1,4,4,0,-3,3,-1,3,1,-2,0,-3,-3,-1,4,1,2,-2,0,1,3,-1,9,9,3,0,-2,1,1,4,1,-1,9,2,-3,1,0,0,-3,1,9,4,4,-3,4,9,-2,0,4,-1,4,9,2,9,-2,1,1,0,3,3,3,1,-1,1,9,9,9,1,0,2,9,1,0,-1,1,4,0,2
314,Wierden,253,-3,9,9,-2,-1,-3,9,9,0,1,-1,3,9,1,9,3,9,0,0,-3,-2,1,-2,-1,-1,1,-2,9,3,4,4,3,-1,9,0,2,-3,4,9,1,4,-2,0,9,2,-1,1,0,1,-1,-1,0,9,-3,-1,1,0,4,1,4,-1,1,4,2,2,1,1,-2,-1,1,-1,1,4,1,1,-3,2,0,1,9,1,9,9,1,1,4,4,1,4,1,-3,4,4,9,-1,1,3,0,-1,4,0,-2,4,9,-1,0,9,0,0,0,4,1,9,1,9,1,1,4,1,2,0,0
315,Zwartewaterland,289,1,4,2,-1,1,1,1,0,3,9,-3,0,3,-2,4,-3,1,-1,-3,4,3,0,-3,0,9,9,9,1,4,9,1,3,4,0,4,9,9,3,1,9,0,9,-3,3,9,-3,-1,-2,9,9,-2,1,4,1,4,-2,-2,3,4,9,4,0,9,9,1,-2,-1,9,2,9,1,4,2,4,1,1,2,-1,1,3,-2,2,3,0,-3,2,-2,9,2,0,-1,0,0,9,-3,-3,-3,2,1,9,1,4,9,2,1,4,4,-3,4,1,0,-1,1,1,3,-2,4,4,-2,9,1,9
316,Comines,260,-1,0,0,-2,9,1,1,-3,4,4,4,9,4,0,4,0,0,1,4,9,4,9,-1,4,1,9,-1,9,3,0,3,4,3,1,0,1,-1,-2,-2,4,0,9,9,4,-1,0,0,-2,2,-1,1,-2,0,1,1,0,0,9,1,1,3,0,1,0,-2,4,2,9,-2,4,1,9,0,0,9,0,3,9,3,0,3,-1,9,9,-3,9,-1,1,4,-1,9,0,-3,0,3,1,3,1,4,1,9,1,-2,0,9,-3,3,1,3,-3,-2,2,-1,2,4,0,0,-3,1,4,4,2
317,Zwolle,263,9,-1,-3,1,-1,0,2,2,3,1,-2,1,4,9,-1,9,-2,9,9,-1,0,-3,-2,-1,1,1,9,-2,9,0,4,1,9,3,3,1,9,1,9,4,0,0,0,0,0,9,-1,9,4,9,0,4,4,4,-3,9,1,9,0,4,-1,9,9,9,4,4,-1,4,2,1,-3,-2,1,2,1,1,0,-1,-3,3,1,0,4,-3,3,0,9,-1,0,2,9,4,-1,0,9,1,1,1,3,-3,0,0,1,0,4,0,9,2,1,9,-3,1,1,-2,-3,-3,-2,2,1,1,-1,1
318,De,257,-1,1,4,-3,-3,1,1,-3,-1,1,-3,3,0,1,9,3,4,1,4,1,9,3,0,9,4,3,9,-3,-3,2,0,-2,9,-3,1,-2,1,0,9,-1,0,4,1,0,3,0,3,3,4,1,1,2,2,1,9,4,-2,1,2,9,4,1,9,1,1,-3,-2,4,1,4,1,4,1,1,4,-2,3,1,9,2,9,4,9,0,1,1,-1,3,-2,9,1,1,4,2,1,-2,-1,1,-2,1,0,3,9,0,9,4,0,3,9,3,1,4,-3,-1,9,9,0,3,1,-1,-2,1
319,Abcoude,264,-2,-1,4,0,4,-1,0,2,-1,0,1,2,9,9,-2,0,1,9,1,4,4,-1,4,1,9,9,-1,0,9,0,9,0,3,2,4,2,-1,0,-1,2,1,4,-1,9,4,0,4,9,1,-2,0,1,-1,2,9,2,-2,0,4,1,-1,4,-3,1,4,9,-2,1,-3,-1,-3,3,4,3,1,0,0,4,3,2,9,9,0,1,4,0,-3,1,2,2,1,9,9,1,1,1,3,9,4,1,2,1,9,1,-1,-1,4,0,1,-3,1,1,-1,0,1,9,1,-1,4,4,2,2
320,Amerongen,255,0,2,-2,4,4,0,1,-1,-3,2,1,9,1,9,4,0,0,2,9,-3,1,3,0,-2,1,0,1,-1,3,9,9,2,-1,-3,4,1,4,1,1,2,1,-3,9,9,-2,3,-3,0,0,2,9,-3,4,9,2,0,0,1,9,1,1,-3,9,1,-1,1,1,1,-3,1,0,9,4,3,9,4,1,0,9,2,1,4,0,-3,3,9,9,-2,-1,9,9,-3,4,1,2,0,-2,1,-1,2,4,1,0,1,1,4,9,9,1,0,-3,-2,0,0,0,9,0,1,1,2,0,4
321,Pi,212,-3,-1,2,9,-3,3,0,2,3,3,-3,9,1,1,1,2,1,1,3,3,1,-1,1,0,-3,4,2,-2,-3,-3,1,0,-1,1,1,0,9,-3,-2,0,-1,0,1,4,9,-2,9,9,4,0,3,4,4,3,-3,9,0,0,4,-3,9,3,-1,9,3,0,4,4,9,2,4,0,4,1,0,4,3,0,3,9,1,3,1,-2,4,4,9,-3,2,-2,-2,1,4,1,9,-1,2,3,0,0,-2,-2,1,0,-3,0,4,0,1,1,0,4,-1,1,-3,1,3,9,-1,0,4,1
322,Amersfoort,168,1,-2,4,-3,-3,-1,0,1,0,3,4,4,1,1,9,-1,1,-1,-3,1,1,4,1,9,0,4,1,-1,1,1,3,-2,1,0,1,2,1,4,-1,-3,0,-2,9,1,9,3,0,1,-1,-1,3,-3,1,-2,4,1,0,3,-3,3,0,1,3,0,1,9,1,1,4,9,1,2,3,-3,1,1,-1,0,1,-1,1,-3,-2,1,0,0,1,3,1,-3,4,9,4,4,0,4,3,4,2,-3,1,4,1,-3,4,1,9,0,4,-3,4,4,-1,3,-3,1,1,4,2,3,-2,2
324,Baarn,251,0,-1,1,1,4,4,-1,9,1,9,1,2,-2,9,0,9,4,0,0,3,4,-2,2,3,9,2,-2,1,-1,9,-2,1,0,0,2,-1,-2,9,9,1,4,9,4,1,-1,0,1,9,-3,3,1,1,-3,4,0,4,-2,0,0,-1,2,-1,2,0,9,4,4,9,4,0,9,4,3,1,3,1,4,4,-2,-2,4,3,0,1,1,0,4,1,4,1,0,3,0,-3,4,3,0,-2,9,0,1,1,-2,1,-1,0,1,0,4,1,1,-2,9,1,3,1,0,3,0,0,3,9
325,Verlinghem,245,3,3,-3,-1,3,2,0,1,1,2,1,-2,2,4,9,4,2,-2,-2,0,1,2,4,0,1,0,0,4,4,0,2,1,0,9,-1,9,4,-1,4,1,-1,2,1,0,1,1,4,4,9,-3,9,2,9,4,1,-3,9,4,1,-1,1,1,4,1,2,4,-2,4,9,-3,1,-3,1,4,4,1,-2,1,9,0,0,1,9,4,-3,0,4,3,-2,-2,9,1,0,3,4,0,0,4,3,-2,-3,4,4,1,1,3,4,0,2,2,-1,9,2,1,1,9,9,-2,1,3,-3,1
326,Breukelen,290,9,9,0,3,2,1,2,0,4,-2,4,4,1,1,1,0,2,9,0,3,9,-2,0,4,9,0,-2,0,4,1,4,-2,0,2,0,4,-2,3,1,1,9,4,4,9,1,4,4,1,2,2,1,-2,0,4,2,-1,9,-3,-1,4,0,9,9,-3,0,0,9,1,-2,4,2,4,2,4,1,1,9,0,3,9,3,0,4,2,-3,4,1,4,3,0,4,2,9,9,2,-1,3,9,1,4,2,4,4,-1,1,3,1,2,2,-3,-1,0,1,3,-1,4,4,2,0,-3,4,0
327,Warneton,192,4,3,0,-3,1,3,-3,4,-1,0,1,0,1,0,1,1,4,4,4,1,3,3,3,1,4,1,0,4,-1,-2,2,2,1,-1,0,3,9,-2,-1,1,1,4,1,-1,-3,1,4,1,4,-1,4,1,0,1,4,0,-3,3,4,2,9,4,-2,9,-2,9,1,0,-1,9,2,-2,2,9,-2,0,0,2,9,0,1,2,1,2,9,-1,-3,4,-2,2,-2,-2,1,0,1,-2,-3,-3,9,2,9,1,-1,1,-1,1,4,-2,4,-1,1,0,0,1,-1,9,9,3,1,2,-3,1
328,Bunnik,278,9,1,0,9,3,4,4,0,-3,9,2,-1,1,-3,3,2,4,0,1,1,-2,0,4,-2,1,-1,4,1,4,-2,1,9,1,4,4,-2,9,2,0,9,-2,4,-2,-2,2,2,9,1,0,4,0,-2,2,-3,1,1,9,9,3,1,0,9,1,9,9,9,9,1,1,0,0,-2,9,-2,0,1,-2,9,-2,1,1,1,9,-3,4,0,9,9,1,1,-2,9,9,-2,2,4,1,0,3,9,2,-3,1,4,2,0,-3,1,2,1,2,2,1,1,-1,2,4,1,4,-2,4,1
329,Wervicq-Sud,285,4,4,-3,1,0,-3,-3,4,2,9,0,0,9,9,3,4,1,9,-2,-1,3,0,-2,2,-1,0,9,0,-1,-1,-2,1,3,9,2,0,4,4,4,3,4,4,-3,4,1,-2,9,1,4,-3,9,0,2,0,-3,0,9,1,1,9,1,1,9,0,9,-3,9,-1,-1,1,9,9,0,2,2,4,1,0,9,3,-1,-2,-1,1,4,3,1,1,1,9,-2,0,9,2,1,0,-2,1,9,0,1,1,9,-1,4,4,9,9,-3,0,4,1,-3,1,4,1,4,1,1,1,9,-1
330,Bunschoten,298,-1,2,3,4,0,2,4,0,3,4,9,4,4,-3,0,3,-3,1,0,0,-3,9,0,2,9,4,1,0,9,1,3,1,-2,0,-2,1,4,4,9,0,-1,4,4,0,9,3,-1,-3,1,3,4,3,0,4,3,0,1,9,0,4,9,4,-1,-1,0,9,1,2,0,2,1,2,2,1,4,3,-2,-2,9,2,0,1,3,-3,9,1,-3,4,0,9,1,9,3,1,-1,9,-3,0,2,0,9,2,1,4,-3,4,-1,4,-2,9,4,9,-2,3,9,-2,4,0,9,-1,9,9
331,Roubaix,185,1,-1,0,9,1,9,0,0,4,9,0,-1,-3,2,-3,-1,9,1,-3,1,4,1,0,-2,-2,2,-3,0,0,4,-2,1,4,2,-3,4,0,-1,-1,2,-3,-2,0,1,4,3,9,1,0,9,9,1,9,1,2,-1,1,1,-1,-1,2,0,1,4,0,1,4,-1,1,1,-1,0,-1,3,0,1,1,0,3,-1,-3,1,-3,1,9,-2,9,0,0,-2,9,9,4,2,0,-1,1,9,-2,2,-3,4,-1,0,2,-3,0,-2,9,1,1,4,-1,1,1,1,4,4,0,2,4,9
332,De Bilt,220,9,4,1,4,1,9,4,2,-3,1,9,9,9,3,2,1,4,-3,0,1,-3,4,-1,0,0,-3,-1,0,0,-3,-3,1,9,0,1,0,9,1,1,1,0,4,1,-1,0,0,-2,4,1,-2,4,3,4,1,0,3,4,0,4,-2,4,9,4,4,2,3,4,-1,9,1,2,0,4,0,2,1,2,-3,3,0,4,3,0,-3,1,-2,1,4,4,1,0,0,-2,-2,9,-2,-3,3,2,4,3,4,2,1,3,0,4,2,2,4,1,2,9,1,4,-2,-3,-1,2,0,1,3
333,Croix,291,4,9,3,4,3,1,2,1,1,9,1,9,9,-2,1,1,1,9,-1,0,9,3,1,4,2,9,1,4,-2,3,1,4,3,2,0,1,1,1,3,4,-1,1,1,2,2,9,2,1,1,-2,1,1,2,-1,2,9,1,9,4,-1,-2,9,1,4,0,3,4,1,1,9,3,1,-3,0,3,-1,1,4,0,3,-1,9,3,4,1,1,1,1,1,-3,2,1,1,4,1,4,0,1,-1,0,2,0,1,9,0,-2,2,4,4,9,0,-3,9,1,1,4,9,-2,1,1,9,-1
334,De Ronde Venen,205,3,0,-3,4,-3,-1,-3,4,1,9,4,3,-2,0,9,0,-3,9,-1,4,-2,2,-3,1,4,-2,0,4,0,-3,-1,3,9,0,1,3,4,-1,0,0,0,9,2,-2,1,3,1,0,9,0,1,3,9,1,9,3,-2,9,-2,1,1,9,1,-3,-1,1,2,-2,4,0,2,9,-1,1,0,-1,-3,4,2,1,9,3,-1,-2,-1,3,-1,-3,0,4,1,9,1,0,-2,0,1,3,2,-1,0,9,-3,1,9,3,1,9,0,-2,9,-1,1,0,3,1,4,2,2,0,0,-2
335,Wasquehal,284,9,4,3,3,1,-3,1,-2,-1,-1,1,1,-3,9,-3,-1,4,1,4,-2,2,9,1,1,1,1,1,3,-3,-2,1,0,0,1,0,0,1,4,4,9,1,1,-3,-1,4,9,1,9,-1,1,4,1,3,0,1,1,3,1,9,2,-1,9,1,0,0,-1,0,4,4,4,3,1,1,4,1,1,9,1,9,9,1,-2,9,4,9,9,9,1,3,9,4,4,1,9,-2,3,-3,-2,1,-3,3,-3,4,2,0,1,4,-2,1,3,9,-1,2,4,4,4,9,1,9,-2,0,4
336,Doorn,329,1,9,2,9,1,-3,1,4,9,-3,4,1,9,1,9,4,1,4,4,9,9,-2,-1,4,-2,1,9,2,1,4,2,1,1,3,9,4,3,2,-1,1,9,1,2,4,-1,1,9,4,9,-3,2,-2,9,1,3,9,0,4,1,9,-2,0,-1,1,1,9,2,0,1,1,4,3,3,9,4,-2,1,3,-1,1,2,1,4,-2,1,0,1,0,-2,9,4,9,1,1,4,1,9,1,9,-1,0,4,2,1,4,-1,9,-1,1,1,-2,-3,-3,0,9,9,4,0,1,4,2,2
337,Driebergen-Rijsenburg,271,4,1,-2,3,9,-1,9,0,1,1,4,4,9,1,1,-3,2,2,-1,0,1,1,2,3,9,2,-2,1,4,9,9,-1,0,9,0,-3,2,1,9,-2,2,4,3,1,1,1,-1,9,1,2,0,9,4,0,-2,1,0,1,9,1,0,1,0,2,-1,1,9,2,-1,4,0,1,1,1,4,2,4,4,-3,9,1,-1,4,9,-3,-3,1,0,4,1,1,1,1,9,9,-2,2,4,-3,9,1,9,9,9,4,0,0,9,-1,0,-2,1,1,9,-3,0,-2,0,-3,-3,1,4
338,Groningen,273,2,1,1,-2,0,2,0,9,-3,1,3,1,4,9,4,-1,9,9,4,1,-1,0,1,-2,1,4,-1,9,3,0,0,9,1,9,3,4,0,2,-2,4,3,3,1,3,4,1,1,1,9,-3,0,-1,3,4,2,-2,1,2,9,4,0,1,0,0,-2,9,-2,0,-1,4,0,0,1,1,4,4,0,0,0,9,-3,9,2,0,1,4,9,1,2,9,1,2,-2,9,0,1,0,1,-3,2,9,4,-3,9,3,4,4,9,-3,0,4,4,-1,4,0,2,0,4,3,4,0,-3
339,Eemnes,294,3,-1,0,-2,2,-2,9,0,1,1,2,3,2,3,1,3,4,9,1,0,4,-1,3,1,4,1,3,9,1,4,3,1,-1,9,3,9,1,9,0,9,9,9,1,4,3,9,1,9,1,1,0,1,9,0,9,1,4,3,1,-2,1,9,1,-1,0,0,1,4,1,0,4,9,2,-2,-3,0,4,0,1,1,1,0,9,0,3,4,1,2,0,9,9,1,3,-2,0,9,1,0,-1,0,0,-3,1,0,2,9,1,4,1,0,-1,-3,1,-3,-2,4,4,0,9,1,4,0
340,Utrecht,244,2,9,3,1,0,4,2,0,4,3,1,4,4,9,1,3,4,2,-1,9,1,-1,2,9,1,0,1,-3,1,0,0,-2,9,1,9,0,0,-3,-3,2,3,9,1,3,1,0,9,1,1,-2,0,9,1,-2,9,2,1,9,9,-2,1,3,-3,-3,4,9,9,-1,4,1,9,9,1,-3,1,4,1,-2,4,0,3,0,-1,9,-3,0,-3,1,1,0,1,2,9,3,4,2,1,4,0,1,-1,4,1,1,1,2,-3,1,1,3,1,0,-3,-3,1,0,0,3,0,-1,3,1
341,Houten,198,1,-2,-2,-1,4,1,-3,1,-1,1,0,0,9,4,3,1,1,4,-2,-2,1,-2,3,1,9,9,3,-3,9,9,-3,1,-3,1,-1,-3,2,-1,-2,1,9,-2,3,1,2,9,4,0,2,-2,-2,4,9,-2,4,0,0,3,0,1,9,2,-2,2,-2,4,2,-1,0,4,-1,2,3,-2,9,4,-3,1,4,-1,-3,3,2,-2,9,9,3,0,4,4,-2,-2,2,-1,1,3,0,0,4,9,0,1,9,4,0,3,0,-1,1,9,2,2,1,-1,4,0,-1,0,1,-2,-2,0
342,IJsselstein,284,4,1,2,9,9,1,-3,2,9,-1,1,1,1,-3,1,-2,9,3,9,2,1,-2,0,-1,-1,-3,1,-3,9,2,1,-3,-1,2,4,9,-1,3,4,-2,0,1,1,1,9,9,9,4,4,1,9,4,1,2,-1,-1,9,1,-2,-2,2,1,1,-1,3,-3,0,-2,4,-2,9,9,9,-3,9,1,-1,1,2,1,1,4,3,1,-2,1,0,4,9,2,9,4,0,1,9,0,4,-3,2,-1,3,2,-2,9,4,1,0,4,-3,-3,-3,-3,9,9,9,9,0,2,2,1,9,4
343,Leersum,194,-1,1,3,1,-3,4,4,9,1,9,4,1,0,1,9,-1,0,1,1,1,9,1,4,4,-2,-2,2,1,0,3,-2,-2,4,1,3,1,9,1,1,1,1,-1,-2,-1,4,3,4,0,4,-1,0,1,0,-1,1,-2,1,1,3,-1,2,3,0,9,9,2,1,-1,2,9,-3,0,-2,1,-1,0,9,9,0,-1,-2,-2,9,4,1,-3,-3,2,2,3,-2,1,1,0,0,-3,-2,1,0,1,4,0,9,3,4,3,-2,1,2,0,-3,9,1,-2,4,2,2,1,4,-2,1,1
344,Leusden,207,9,4,9,2,-2,4,1,3,9,2,9,1,3,-1,-2,-3,0,1,9,2,0,1,9,1,1,-3,0,-1,0,1,3,-2,1,4,4,0,1,-3,-3,1,-1,-2,2,9,-2,1,-3,9,9,-3,0,3,2,0,0,-2,0,2,-3,-2,1,1,0,3,-1,1,4,-1,3,4,1,1,1,4,4,2,-1,-3,3,3,2,1,2,2,9,4,4,0,0,-3,0,3,2,3,9,9,1,0,9,-1,3,2,-1,0,4,1,0,-1,1,0,-1,1,-3,9,3,-1,0,1,1,3,2,3
345,Loenen,218,4,3,1,4,1,4,9,3,-1,2,-1,9,3,9,1,-2,-1,9,0,1,1,-1,-3,2,1,-3,-1,1,1,9,0,4,3,4,2,0,2,2,4,1,1,4,1,1,3,-1,-2,3,4,4,-3,-3,0,3,-3,2,1,1,4,4,4,4,4,1,9,3,-3,3,-2,0,2,9,9,1,1,0,0,4,9,4,1,-1,9,2,1,4,4,1,-3,1,0,-1,0,0,4,2,3,1,-2,1,0,-3,-3,-2,0,0,1,0,1,0,-3,1,4,0,9,9,1,-2,0,2,-1,4
346,Lopik,226,1,-3,3,0,1,-2,0,1,2,9,-3,1,3,0,-3,4,-3,4,0,9,2,4,1,3,9,4,-3,2,1,1,-1,2,4,-1,-1,3,-1,1,4,-1,1,9,1,-2,1,0,-1,-2,4,-2,-3,0,0,4,9,9,1,2,0,-3,9,-3,1,-3,0,4,9,0,-1,9,-1,1,4,-3,3,9,9,-2,1,9,-3,1,-2,3,-1,1,3,2,4,9,9,-3,2,-2,3,4,-3,4,-3,4,9,3,9,3,-3,9,4,1,1,0,9,4,1,-3,0,-2,4,1,-1,0,4,1
347,Maarn,270,2,1,4,4,-1,1,-1,3,1,2,0,-2,2,0,3,9,4,3,2,-2,1,9,1,9,0,2,4,2,1,9,2,1,-3,1,4,-2,1,4,2,0,3,4,4,-2,0,0,9,0,1,3,0,-1,-1,1,9,9,1,0,2,9,-1,4,3,4,-2,9,1,1,0,9,-3,-3,9,1,-1,-2,4,4,3,0,1,-1,1,4,9,1,-1,4,-3,-1,1,9,0,4,3,4,-3,1,1,-3,0,-1,-3,9,2,1,9,1,4,2,1,9,-2,9,-3,-2,-2,9,1,3,9,9
348,Maarssen,267,4,1,3,4,3,3,-3,0,1,9,1,9,3,0,3,-2,2,9,3,4,1,4,-2,1,0,-3,-1,9,1,9,1,4,9,1,1,1,4,3,2,1,4,-2,4,1,1,-3,4,-1,9,1,0,-3,4,0,1,9,3,1,9,4,-3,-2,-1,4,-2,1,1,2,9,2,-3,3,1,0,-3,0,2,1,4,4,-1,1,9,0,3,2,-1,4,0,9,1,1,4,1,-1,4,9,-3,4,9,1,2,9,1,9,1,0,1,-2,1,0,-1,2,0,3,4,3,3,0,4,1,1
349,Montfoort,248,0,9,0,2,-1,0,-1,0,9,1,1,3,3,-3,3,9,4,4,1,1,4,-3,4,9,1,3,-1,-1,0,4,-1,0,-3,1,9,-1,2,1,9,9,-3,0,1,1,3,0,2,1,2,4,-3,3,4,4,9,3,4,2,2,1,0,-1,9,-3,1,-1,1,1,0,4,-2,9,-3,4,9,9,0,1,1,3,-3,9,4,3,1,0,9,1,4,0,-1,0,1,-2,1,4,4,2,4,1,0,1,-1,1,1,9,1,2,-2,-1,0,0,-1,4,0,1,1,9,-1,4,4,1
350,Nieuwegein,216,9,1,1,-2,1,-2,9,1,9,-2,4,1,-2,3,3,1,-1,1,3,4,1,1,0,1,9,1,3,3,1,0,-2,-3,3,0,1,0,0,2,-1,1,4,2,1,9,1,3,1,4,0,0,-1,9,3,0,0,1,2,1,2,4,4,3,-1,3,4,0,1,0,1,9,3,-1,9,1,0,-1,0,1,-1,-2,1,1,4,9,4,0,1,9,4,-2,9,1,-2,0,-3,9,2,2,2,-3,-2,3,0,1,3,4,3,3,-2,1,0,9,2,-3,1,1,1,0,0,1,-1,1
351,Oudewater,318,9,1,9,1,1,0,9,2,-1,3,3,1,0,0,1,2,2,3,3,-2,2,0,4,4,-3,-3,9,4,9,-1,3,2,-1,1,3,-1,-1,4,4,9,9,4,1,-1,3,-1,1,9,4,0,9,1,4,9,-1,2,9,0,1,1,-3,1,9,-2,0,9,1,2,-2,1,4,0,4,1,4,1,9,-2,3,9,4,-3,9,4,-2,9,1,3,1,4,3,9,4,9,4,1,3,-1,1,4,2,9,-3,1,9,1,-3,0,1,-3,0,4,4,4,9,0,1,1,-3,9,1,-1
352,Renswoude,266,4,9,3,-2,0,9,-3,1,0,0,0,1,2,-2,9,4,4,1,2,0,-1,0,4,1,4,-3,-3,9,1,9,1,0,1,2,1,0,-2,1,9,1,2,0,2,9,1,-3,1,4,4,1,9,9,9,2,1,2,0,1,0,0,0,9,3,4,9,1,-2,3,4,1,3,9,-2,0,1,9,-3,-1,9,4,9,-2,-3,1,9,-2,-1,2,9,0,-3,-2,1,2,1,3,-1,-2,2,2,1,2,2,1,1,3,1,4,-2,3,1,4,9,1,0,1,9,4,1,4,2,-3
353,Rhenen,160,-3,0,0,9,4,0,-3,1,1,-2,1,1,3,3,0,1,0,4,1,3,1,3,-1,0,4,9,9,-1,-1,3,1,-3,-1,0,0,4,0,1,1,9,1,-3,2,1,4,4,0,0,0,1,-3,1,1,0,1,4,-1,4,9,1,-3,-3,-3,2,-3,4,2,0,-2,-3,2,1,0,-1,3,0,0,-3,4,-2,-1,9,-3,3,1,1,3,2,0,4,4,1,1,1,4,1,1,-1,1,0,-3,1,1,9,9,-1,4,4,0,4,1,1,1,-3,1,0,-1,-2,9,4,4,1
