e,name,sum,Good food,Music,Live music,Outdoor exercise,Swimming,Food,Much food,Burgers,Fast Food,Midnight service,Service,Types of food,Conscious food,Snacks,Crowdedness,Ingredients,Bacon,Grapes,Ham,Dishes,Hash browns,Hiking,Internet,Drinks,Coffee,Atmosphere,Kitchens,Indian kitchen,Romantic atmosphere,Market,Culture,Art,History,Architecture,Experience,Thrill,Local culture,Local people,Walking,Relaxing,Outdoor,Picnics,Chips,Craftmanship,Alcoholic drinks,Modern art,Traditional local culture,Fun,Animals,Dolphins,Adventure,Going out,Vegetarian food,Healthy food,Good drinks,Cocktails,Dancing,Cheap,Museums,Beer,Outdoor food,Pub food,Squalor,Scottish food,Italian food,Pizzas,Shopping,Souvenirs,Authentic souvenirs,Beautiful experience,Beautiful view,Convenience,Comfort,Comfortable seats,Nature,Peaceful atmosphere,Driving,Driving a boat,Fruit,Meat,Ice cream,Local food,Vegetables,Cinema,Arthouse films,Train rides,Weddings,Bagles,Non-alcoholic drinks,Chocolate drinks,Paninis,Social atmosphere,Cheesecakes,Purchasing art,Waterfalls,Fishing,Fly fishing,Late night service,Spas,Wine,Body art,Tattoos,Piercings,Jazz,Blues,Sea views,Quiet atmosphere,Gardens,Cider,Excitement,Massage,Beautiful sights,Cycling,Mountain biking
165,Grave,280,-2,0,1,9,9,4,-3,0,9,-3,4,9,-3,1,9,9,1,1,4,9,0,4,9,9,-3,0,4,4,-3,0,1,2,0,-1,2,3,0,0,9,2,4,3,-1,0,-1,1,-1,0,1,-3,-3,3,9,4,1,-3,-1,0,1,9,9,2,4,1,2,9,0,-1,9,9,3,9,1,1,1,3,-3,9,3,1,-2,1,9,9,-1,4,1,1,0,9,9,4,-2,1,1,0,3,0,1,9,0,-2,4,-1,3,4,4,1,1,1,4,-3,-1,3
166,Haaren,157,4,2,-1,9,3,-3,4,-1,-2,0,9,-3,-2,-2,2,1,1,-3,-3,0,2,1,3,1,-2,0,0,0,4,-3,-2,1,9,-3,1,-1,-2,1,0,9,-2,2,2,9,-1,-1,0,4,1,4,1,9,1,9,3,-2,9,-3,-2,1,-3,1,4,0,9,-2,2,0,1,3,0,0,-1,1,1,3,1,1,-1,9,1,-3,0,0,3,4,4,1,-1,0,-3,2,9,4,1,9,1,0,9,-2,3,1,-1,4,2,1,-1,4,-3,0,1,-1,4,-3
167,Halderberge,241,-2,-2,9,1,2,1,-3,0,-3,0,2,2,9,3,0,0,4,4,1,-2,9,4,-1,0,-2,0,1,1,0,-3,-1,0,4,1,3,4,-2,9,1,4,1,0,0,4,9,9,1,9,1,1,2,9,-3,-1,1,4,1,9,9,4,1,1,4,4,4,2,-1,-2,4,4,0,2,-1,2,1,9,9,9,0,9,-1,9,-3,-3,0,0,1,1,-3,1,-3,-1,4,-2,9,-2,1,9,9,-2,0,4,9,1,1,4,1,3,1,-3,4,-2,3,2
168,Heeze-Leende,190,1,4,-3,0,2,-2,4,4,1,0,-3,0,9,2,3,1,1,1,9,3,4,9,1,3,9,-1,1,2,-3,0,0,1,3,4,0,-2,0,-2,3,4,0,-3,0,1,2,1,1,2,0,9,-1,1,-1,-3,1,4,1,9,0,1,-1,0,4,1,0,0,-3,4,9,0,-3,9,3,2,1,-3,9,3,2,-1,4,4,9,0,9,2,-2,1,1,4,-2,0,4,4,-3,-3,-2,1,-2,1,1,-1,9,0,1,-3,-2,9,4,-1,-1,-3,9,4
169,Helmond,250,1,1,4,1,4,-2,-1,1,0,-3,2,-1,4,9,4,0,0,1,9,1,9,1,1,3,-1,-2,9,1,-1,1,0,-3,3,2,-2,0,0,3,1,4,4,1,1,-2,2,3,-2,9,1,-1,9,1,0,9,2,9,1,3,0,3,4,2,4,4,3,0,0,1,0,9,9,3,-2,4,1,0,2,-1,-1,9,3,-1,-1,3,1,2,0,1,1,2,1,9,9,4,3,3,0,-2,-3,0,9,2,1,0,3,3,9,-1,9,2,4,2,0,4
170,Heusden,259,9,9,2,4,4,-3,4,1,1,4,-1,2,0,9,3,1,0,0,4,1,3,-3,0,-3,-1,4,4,1,4,3,1,9,9,1,0,1,1,3,2,2,0,3,4,9,-1,1,9,9,3,-3,1,1,1,1,-2,0,-2,1,-2,4,9,4,4,4,-1,-3,9,9,9,-1,1,-3,-2,4,1,3,-2,4,0,9,3,-2,3,0,1,1,9,0,0,2,1,9,9,0,3,9,2,1,3,1,1,1,0,4,-2,-1,1,3,-2,1,3,4,4,-3
171,Hilvarenbeek,199,4,3,-1,4,2,-1,1,-1,1,1,1,0,3,-1,9,1,1,4,0,9,-1,-2,4,2,3,2,3,0,0,1,3,-2,4,1,9,3,9,-2,1,-1,-1,1,2,4,1,4,0,9,0,1,1,1,-2,-3,0,1,0,1,-3,1,0,-1,3,1,1,-1,1,0,-3,4,0,4,-2,4,4,-3,9,4,-2,0,4,1,1,3,3,-1,-3,-1,0,4,9,9,4,-2,1,-2,9,2,-3,0,3,1,2,-3,0,1,9,4,9,4,4,4,1,4
172,Netherlands,275,-3,0,2,4,0,3,-3,0,4,4,9,-1,0,-1,3,2,-3,1,4,2,-2,0,9,4,-1,9,-3,9,9,-2,0,0,9,1,-1,0,-2,0,4,0,1,4,-3,2,4,-3,-2,-1,4,2,-1,4,1,4,0,9,2,4,4,1,0,1,9,1,1,1,2,1,2,9,2,1,1,4,0,4,4,3,-3,9,1,0,2,9,1,-2,-2,4,2,1,1,9,9,9,2,9,1,9,1,9,4,-3,3,4,-2,9,0,1,9,9,-2,-3,9,4
173,Laarbeek,204,1,9,-2,4,4,0,1,2,-3,0,0,-3,-3,1,1,4,4,-3,9,4,4,1,1,1,1,4,0,3,0,1,9,4,3,4,1,3,-2,4,4,0,4,1,9,3,0,9,3,4,-3,9,0,9,0,9,1,-2,-1,4,2,-1,4,1,-2,1,3,3,1,-3,1,9,0,1,9,0,3,2,1,1,9,3,1,0,-2,3,1,-2,-1,2,9,1,0,1,-3,-3,-3,1,1,-3,4,0,-3,-2,1,4,-1,-2,4,-2,-2,9,9,1,-3,1
174,Landerd,236,9,9,9,-3,1,2,2,2,9,9,1,2,3,4,4,9,-1,0,9,9,-2,2,2,3,9,3,1,9,3,2,2,3,-2,1,4,2,4,3,0,-3,0,9,4,0,1,0,4,4,1,0,3,-3,3,1,2,-2,0,1,2,-1,-2,0,1,-2,-3,4,1,-3,9,3,-1,1,4,4,1,4,1,-2,9,-1,4,0,-3,4,-1,-2,0,4,0,1,4,0,-1,1,1,-3,-1,-2,4,9,0,-2,-2,9,1,-1,9,3,3,0,3,0,1,1
175,Lith,213,3,2,9,3,-3,0,3,-1,3,-3,9,-1,1,9,-2,1,0,4,1,3,1,9,2,3,0,2,3,4,1,4,9,4,9,-2,4,1,3,4,1,9,1,0,0,3,-1,2,-1,-2,-2,1,9,1,1,4,1,1,2,-1,4,0,-3,2,2,4,0,1,2,4,-1,-2,4,-3,1,1,1,-2,-2,9,-1,1,0,1,-2,1,0,-3,-3,1,9,4,1,2,2,0,-3,1,0,9,1,-3,1,-2,4,3,2,2,9,-2,9,2,9,4,0,1
176,Loon op Zand,206,9,-2,0,9,4,9,0,2,0,2,-3,-2,0,1,3,1,1,-2,4,0,1,-2,4,3,-1,3,4,2,0,9,1,1,1,9,1,3,1,1,0,0,0,9,4,0,0,-3,-1,-2,4,0,4,3,-2,-1,-2,4,9,0,-1,9,-1,3,4,-1,4,-2,4,9,0,1,9,4,-2,-2,-2,1,9,0,4,2,0,2,0,-3,1,0,1,0,3,3,1,3,-1,4,-3,4,1,1,4,-1,0,0,-2,4,-3,2,4,4,0,9,4,9,0,0
177,Maasdonk,211,-3,3,9,0,1,0,4,9,1,-1,1,3,2,-2,3,9,1,-1,0,0,-1,4,3,3,1,1,-2,1,9,9,0,1,1,4,1,0,9,2,3,0,4,-3,1,1,-3,-2,1,1,2,0,9,9,-3,2,-2,9,0,-2,-1,-3,-3,4,-1,2,1,1,1,1,0,4,0,0,-2,4,0,-3,9,9,4,0,9,-3,0,-1,1,4,-3,9,2,1,2,-2,-2,-2,1,0,9,4,-1,4,4,0,0,3,1,9,9,9,9,1,0,1,-3,-3
178,Mierlo,189,1,0,2,1,1,-3,1,1,-3,1,4,9,-3,4,-1,1,1,4,4,3,9,0,1,-3,4,3,1,9,9,1,2,0,1,1,4,1,2,0,0,-3,9,-2,9,-2,9,2,-2,1,1,0,4,1,-2,9,1,1,-3,1,3,-3,9,9,2,9,-3,1,4,1,2,1,4,0,0,4,-3,1,9,4,-2,-3,1,-3,4,1,-2,0,1,1,0,-2,1,0,-2,2,0,3,0,3,1,-3,9,0,9,0,0,0,1,4,4,-3,0,1,1,1
179,Mill en Sint Hubert,219,4,9,9,3,4,3,9,1,0,3,-3,-3,0,3,1,1,9,0,-2,4,1,1,2,0,0,9,1,1,1,9,1,-3,-1,1,1,-2,0,0,4,1,0,2,1,-1,1,-2,-1,3,3,9,-3,1,-3,-2,9,3,1,9,9,9,0,1,3,4,0,-1,0,-2,9,0,1,4,1,3,1,3,3,3,4,-3,0,-3,3,1,9,-3,0,4,0,2,4,-2,2,3,1,1,-1,4,-1,4,3,2,-3,4,0,3,3,-1,9,4,1,1,0,1
180,Moerdijk,123,0,4,-3,4,1,4,-1,1,0,0,-3,2,0,4,1,9,2,2,1,-2,9,0,-1,-2,3,-2,-2,-1,2,0,1,0,9,3,-2,2,9,1,-2,2,9,2,1,-1,1,3,1,-3,1,-2,3,0,1,1,1,0,0,2,1,9,0,-2,1,0,-3,1,1,0,1,-2,-2,-3,0,-1,0,2,-1,2,1,3,9,-2,1,3,-3,1,9,1,9,-2,4,-2,1,0,9,1,3,-1,1,1,-3,0,-2,-1,-3,2,3,-3,4,-3,1,3,1,-2
181,Nuenen c.a.,269,4,4,4,3,2,0,9,1,3,-2,2,0,3,1,9,-3,9,4,4,1,9,9,0,-3,0,9,0,1,0,-2,4,2,9,1,3,1,9,1,1,4,-2,2,3,1,0,-2,-3,3,4,4,0,0,1,4,3,3,1,-3,0,2,2,1,-2,-2,4,-1,9,1,4,9,4,2,3,-2,2,3,4,4,1,4,4,9,-1,2,4,9,3,0,9,0,1,-1,-3,1,4,-3,1,1,1,-1,-3,1,3,4,3,9,-1,9,9,0,9,1,1,-3
182,Oirschot,253,-2,0,-2,0,2,-3,3,9,3,1,9,9,1,1,-2,4,-2,4,9,1,4,1,9,9,4,1,1,-2,-1,1,-3,4,-1,4,-3,-3,1,0,-1,9,-3,1,4,-1,0,-2,4,0,1,-3,4,1,3,9,2,1,9,1,4,9,3,0,4,1,-2,0,0,3,-1,4,0,1,1,0,1,3,-3,0,1,4,-3,4,2,9,1,1,9,-2,9,0,1,2,-3,3,0,1,0,9,9,4,9,9,-2,1,1,9,9,9,1,3,3,-1,1,2
183,Oisterwijk,210,3,1,1,-1,0,0,3,1,1,-3,4,9,1,4,-1,-3,9,-2,2,-3,1,0,1,1,9,-3,0,4,-2,1,-2,0,3,1,-3,9,4,-1,-1,1,4,1,1,-3,1,2,0,0,0,9,4,1,4,1,-3,0,-3,9,9,-2,4,1,1,2,-1,1,2,1,3,4,0,9,1,-3,9,0,4,1,-1,2,9,4,4,0,0,9,1,0,1,9,4,4,4,0,4,0,0,9,-1,1,-3,-1,-3,-1,0,4,1,9,-3,2,9,3,3,4
184,Oosterhout,251,2,9,1,4,1,9,-2,1,9,1,9,3,-3,9,9,0,-2,0,3,0,-1,0,4,1,-3,0,9,9,-1,-1,9,4,2,1,3,-1,-1,3,-1,-2,-2,4,1,2,1,9,0,1,3,1,9,1,-3,1,0,4,1,2,9,9,-3,1,1,4,0,4,3,0,-1,2,0,1,-3,1,9,-3,-3,3,-2,2,1,4,-1,9,1,1,9,0,-1,2,4,-3,-3,2,9,1,1,1,0,4,0,-2,4,2,9,2,-2,9,1,0,9,-1,4,9
185,Oss,207,9,-1,1,4,0,9,9,9,-2,-3,1,4,4,2,0,4,0,-2,4,0,2,9,0,2,-2,4,0,3,-2,0,-3,1,0,1,9,9,2,4,0,4,1,9,0,4,4,9,1,1,4,0,3,0,-3,2,4,0,0,1,0,9,0,1,-1,2,-1,-3,4,-1,-2,2,3,1,0,1,9,1,0,9,1,2,-3,0,1,9,-1,1,4,1,2,0,4,1,0,1,4,0,1,-2,2,4,1,9,1,1,-3,-2,1,-2,1,2,-2,0,-1,0
186,Flevoland,220,-1,1,4,9,1,1,0,2,4,-3,1,-1,1,-2,4,-1,1,2,0,4,-1,1,9,-2,-1,1,9,3,-2,0,1,1,-3,4,0,9,-3,0,3,9,4,0,0,9,1,0,-2,4,3,0,3,3,4,3,1,1,-1,-3,-2,1,9,4,3,2,1,9,1,3,-3,9,9,1,9,0,9,3,3,-3,4,1,4,3,1,-2,3,-3,-1,4,9,1,-2,1,4,-2,-1,9,-3,1,0,4,9,0,4,2,-2,0,-1,-3,1,2,1,4,1,4
187,Reusel-De Mierden,245,1,-3,0,0,0,0,2,4,9,9,4,0,-1,-3,9,4,1,1,3,1,9,0,1,-2,3,-1,1,1,-3,9,3,1,1,1,0,2,-3,9,1,1,0,-2,1,-2,-2,0,9,1,9,-3,0,4,0,1,3,2,4,4,-3,0,-1,1,9,-2,1,9,1,0,-1,2,4,9,1,-3,0,9,3,-2,3,9,0,0,9,4,9,1,9,9,1,0,1,-2,1,-3,2,1,-3,3,1,0,4,4,9,9,3,1,1,0,9,-2,-1,9,1,2
188,Roosendaal,227,1,3,2,0,-2,0,4,9,1,9,9,1,4,1,4,4,3,-2,2,0,0,4,4,1,9,1,0,0,4,0,4,0,9,9,9,-3,9,0,-3,-2,4,-3,1,-3,-3,4,2,9,3,-3,0,-3,0,1,4,-2,4,4,2,4,1,1,4,-1,3,1,0,0,1,-3,2,1,-3,9,1,0,1,-2,4,-2,-3,2,4,2,0,-2,-1,9,9,9,3,4,2,0,1,2,0,9,0,1,9,1,1,9,-3,-2,4,1,4,4,0,-3,-1,1
189,Rucphen,163,1,-3,4,4,2,1,4,1,-2,1,3,4,1,-3,-2,2,0,4,4,0,0,0,1,9,3,3,1,9,0,4,1,0,1,2,9,-2,-3,2,9,-1,-2,1,4,1,2,0,0,-3,-1,1,-2,0,-2,-1,4,1,-3,0,1,4,1,-2,1,-2,3,4,2,1,4,1,9,-3,2,0,2,0,-1,1,-3,3,3,3,4,1,-3,-1,4,9,-1,2,9,0,1,-3,2,-3,1,9,0,-2,1,1,0,9,0,0,3,4,1,1,4,0,1,1
190,Schijndel,286,0,-2,1,1,1,2,9,9,9,2,-2,1,1,4,4,9,9,3,-1,9,9,0,9,9,0,0,-3,1,-3,1,1,1,1,4,4,-1,0,1,1,-2,9,4,1,3,1,0,4,4,4,3,9,9,2,1,9,4,1,1,3,9,4,2,4,9,-1,-1,2,0,0,9,-3,0,-2,4,1,4,-1,4,1,4,4,4,-2,-3,-2,1,1,-2,-3,-2,0,1,4,9,4,1,9,-2,9,-2,-2,2,9,4,0,9,1,1,2,1,2,3,1,1
191,Sint-Michielsgestel,213,0,9,1,1,2,-1,1,-3,3,4,0,2,1,0,0,-3,3,-2,4,2,3,9,-2,4,4,2,-1,0,9,0,1,9,2,1,1,9,1,3,0,1,-3,3,-3,2,0,4,-3,-3,-2,1,2,2,4,0,3,1,-3,3,3,4,-2,-1,-3,1,4,9,9,3,-2,-2,-3,9,-3,-1,9,3,0,2,4,4,1,4,3,9,4,2,1,-1,4,-3,1,9,4,3,9,-1,1,0,0,0,1,9,-3,-1,4,1,1,9,1,3,0,3,-1,1
192,Sint-Oedenrode,240,-3,-1,9,4,-2,1,0,4,4,1,3,1,4,9,-1,0,1,-1,0,2,-1,2,-2,1,-1,2,1,9,4,9,4,2,1,-1,3,0,2,-3,4,1,4,4,9,3,-1,0,0,0,4,4,4,2,3,0,-2,4,-1,2,-1,-2,3,9,9,9,1,0,9,1,2,4,1,4,9,-2,9,3,0,-1,0,1,2,-3,9,1,-3,4,9,0,2,1,0,9,1,0,2,9,9,0,-3,2,1,2,1,-3,-1,-1,-2,1,-2,-2,4,9,-1,4
193,Sint Anthonis,264,0,1,0,0,3,0,9,3,9,3,9,3,0,3,2,1,1,0,4,1,0,0,0,1,4,1,2,0,4,2,9,4,1,-3,-3,4,0,1,-1,4,9,-1,1,4,-3,1,-3,1,0,4,1,9,1,9,4,0,9,2,0,-2,0,-3,4,9,9,9,1,-2,1,0,1,9,9,1,-1,-2,0,3,2,0,1,0,3,2,1,3,0,-3,-2,-1,9,-1,3,2,4,9,1,9,0,1,4,1,9,9,3,1,4,1,-2,1,1,9,3,1
194,Someren,203,3,3,1,0,-1,2,-3,9,-3,-2,-2,9,1,1,9,1,1,9,1,-3,0,0,9,1,1,3,4,-2,0,-2,-1,-3,-1,1,4,0,9,-2,9,0,-1,2,-2,4,-1,2,2,-2,1,0,-2,0,1,-2,4,-3,4,-1,-2,1,0,1,4,2,9,-3,1,2,4,3,9,2,2,3,9,1,1,0,3,2,0,2,-3,9,0,-2,1,4,0,1,-2,1,0,2,9,1,9,9,1,9,-2,0,1,9,1,9,1,1,4,-1,4,0,-3,2
195,Son en Breugel,232,-1,9,1,4,1,1,3,1,-2,0,4,9,4,9,9,1,3,-2,1,4,0,9,1,2,-3,0,3,3,3,9,9,4,2,4,2,0,-1,0,-3,3,4,-2,2,-3,2,4,1,-1,4,-3,4,1,1,4,9,1,1,-2,2,9,3,-2,1,9,4,-2,1,1,1,9,-1,9,0,1,2,1,-1,9,-1,9,4,3,0,1,1,3,-3,1,1,4,-2,0,0,1,4,0,1,0,2,1,-1,4,1,1,-1,-3,0,-2,0,1,2,1,1,9
196,Steenbergen,236,0,-1,0,-2,9,-1,9,-2,0,3,9,9,0,9,0,1,9,1,1,1,2,4,-1,4,-3,-2,4,9,0,9,1,0,1,2,3,1,0,2,4,1,2,1,3,9,2,-2,1,3,4,4,9,4,-2,-2,1,0,-2,-1,-2,3,0,-1,1,1,4,0,0,1,3,1,9,-3,9,0,1,0,9,0,-2,1,9,-3,1,3,4,0,3,-2,1,-1,1,1,2,-1,2,1,-1,0,-3,-2,-3,4,4,4,9,9,2,-2,1,0,1,9,9,9
197,Tilburg,194,4,1,0,9,-1,-2,-3,9,9,-3,0,1,3,-2,4,1,1,4,4,0,4,1,9,3,-2,-2,-3,3,0,1,3,4,-2,-3,-1,3,1,1,3,-1,1,3,2,0,4,-2,3,-3,4,-3,1,0,1,4,0,0,-3,1,1,9,1,4,2,2,1,-1,-1,1,2,9,9,9,1,1,4,0,-3,1,-2,9,9,4,1,-1,-3,3,9,1,3,4,0,3,0,1,9,3,1,0,0,-2,0,0,-2,9,4,1,9,-1,-3,3,-2,0,1,-3
198,Uden,164,0,4,-2,0,3,0,1,-3,9,0,-2,-3,1,1,-1,0,3,1,4,0,0,2,-3,-1,-1,4,3,3,1,3,9,1,-2,-3,3,0,9,0,4,-2,1,4,0,-2,4,0,4,-2,-2,3,0,1,2,2,-3,4,2,-3,9,2,9,4,3,3,4,1,1,0,9,9,4,1,0,-1,0,-1,-1,1,0,1,1,3,0,3,3,-1,-2,1,0,-3,4,-1,0,9,1,1,-3,-1,-1,4,9,4,1,-1,4,0,1,3,1,4,-3,-1,4,1
199,Valkenswaard,226,2,3,0,1,1,4,4,4,0,-3,9,-3,-1,-2,-2,9,1,1,1,9,4,1,2,1,1,1,4,-3,1,0,4,9,4,9,-2,4,0,1,0,-2,-3,-2,9,0,0,-2,3,-1,9,-3,0,0,1,4,9,3,3,1,9,-3,4,4,3,-2,0,0,0,9,-2,1,-1,1,9,-1,9,3,0,1,2,3,1,9,1,1,3,-1,-3,0,1,0,0,3,1,4,-1,1,3,9,3,9,0,9,4,4,1,-1,2,-1,0,0,0,1,4,2
200,Friesland,193,1,3,9,9,3,1,-3,0,0,-1,4,0,1,1,-3,9,3,0,1,1,-3,3,0,-2,1,1,-1,4,9,-2,9,1,-3,1,4,2,4,0,2,2,0,1,9,4,-3,4,-3,0,1,1,-3,-2,2,4,1,2,1,-3,0,4,0,4,1,1,-3,-3,-3,4,-3,9,0,0,9,9,4,1,0,2,4,0,2,9,3,3,-1,0,9,-3,9,0,1,1,4,-2,1,-1,1,4,-2,9,0,1,3,4,4,-2,3,4,-3,-1,2,0,4,0
201,Veghel,203,1,0,1,1,4,1,1,2,1,2,0,-1,-1,2,1,1,1,4,1,-2,4,3,1,1,0,4,0,-3,9,4,-3,1,1,-2,4,2,-3,1,-1,4,0,-2,9,1,0,-1,-2,0,-3,1,-2,3,1,-3,9,9,4,0,1,9,9,0,0,9,1,-2,-3,0,1,3,1,9,0,1,9,1,4,1,4,1,3,-1,3,9,0,4,0,4,9,3,1,3,0,0,3,-2,1,4,-1,4,9,0,-2,1,4,0,0,-1,9,4,0,-2,0,4
202,Veldhoven,213,-1,-1,1,4,1,9,-3,2,9,3,-2,1,2,-2,0,3,-1,0,-3,-3,-3,1,1,1,9,1,2,0,0,-1,1,1,1,9,0,0,-3,4,-3,4,-3,-2,9,9,4,0,-2,2,4,4,-2,1,9,1,1,2,2,3,1,3,1,4,4,2,9,0,1,0,-1,9,9,0,-1,1,0,0,9,9,0,1,-1,9,0,2,1,1,1,0,-3,1,1,1,-2,9,0,-1,1,-2,1,9,1,0,0,9,-3,1,0,9,4,1,9,9,1,-3
203,Vught,190,1,9,1,1,1,-3,-1,9,9,3,3,-3,4,2,-3,1,1,1,4,1,2,2,0,2,-3,3,1,-2,-2,3,-3,-3,4,1,1,3,1,0,-2,4,-1,3,4,4,-1,4,4,1,-1,9,-3,0,4,-2,1,2,9,1,-1,4,0,2,4,-3,1,2,0,-3,1,-2,9,9,4,1,-2,0,0,0,1,2,3,3,0,0,-2,1,1,0,0,1,1,4,4,1,0,3,9,0,-2,0,3,0,1,1,9,0,0,4,9,0,4,3,9,0
204,Waalre,209,9,1,4,4,0,4,0,1,9,1,-1,1,3,-3,1,3,3,1,1,4,-3,3,-3,1,0,1,1,-3,4,2,-2,1,9,-2,9,1,1,-2,-3,1,1,2,9,0,3,0,0,2,9,-1,3,-3,-3,0,4,9,9,0,1,1,0,1,1,1,1,4,1,4,0,1,3,9,0,4,0,-1,0,9,3,9,-3,9,0,2,2,2,4,9,-3,1,0,-2,1,-3,-3,1,1,2,4,4,3,-3,-3,9,0,3,-1,1,9,0,1,4,0,0
205,Waalwijk,189,1,-3,1,-3,1,1,4,0,9,2,1,9,3,1,1,1,-3,1,3,1,0,-1,4,9,-3,2,9,-2,0,2,9,3,9,3,1,4,1,2,9,-3,4,-2,0,1,2,3,-1,-1,1,0,4,1,4,1,-1,1,9,4,1,1,2,-2,3,-2,1,1,0,3,4,3,-1,0,1,1,0,4,3,3,-3,1,1,3,1,-1,-1,-2,9,0,9,2,4,-3,4,1,-3,1,3,1,-2,2,-2,1,3,-1,4,1,2,1,-1,-1,1,3,2,4
206,Werkendam,239,2,4,1,9,4,9,1,9,9,-3,0,1,0,0,-1,1,1,-1,4,3,1,1,1,3,1,4,-3,9,9,3,-3,-1,9,2,9,-3,-1,2,4,-3,-3,2,1,9,4,2,1,1,1,9,9,2,9,0,9,3,-2,3,-3,-1,0,1,0,9,1,4,-3,0,-1,4,-3,-1,-2,9,2,1,0,-3,-3,2,-3,-2,1,1,4,3,9,4,3,1,0,3,1,-1,0,-3,3,4,2,1,-1,4,4,3,-2,4,-3,1,9,9,0,-1,2,9
207,Woensdrecht,188,4,1,0,2,1,4,-2,1,9,1,-3,1,0,-2,4,-1,1,0,4,4,0,9,0,0,1,4,1,-1,3,9,1,1,3,1,2,0,4,1,3,0,3,1,0,-1,4,-2,4,-1,3,-1,-1,-2,1,-3,0,0,4,4,3,1,-2,2,3,1,9,1,0,-3,3,4,9,9,9,-2,0,9,4,1,3,2,1,4,0,-1,2,4,1,0,3,0,4,1,-2,0,0,9,0,1,-1,1,1,1,3,-1,4,2,-1,3,-1,2,-3,4,0,-3
208,Woudrichem,173,-2,-3,-2,2,1,-1,1,1,0,1,1,0,-3,3,2,2,4,0,4,9,-3,-1,-2,4,-3,0,0,4,-2,2,1,-2,1,-2,1,1,1,1,-2,1,1,-1,3,-3,1,1,4,4,4,2,1,-3,4,-3,-2,9,1,-3,2,1,1,1,4,0,9,0,1,9,3,-3,1,-2,1,-1,2,9,1,9,4,-2,0,0,4,1,0,1,1,0,4,1,0,4,0,1,0,1,-3,9,9,2,3,-1,9,-2,-3,1,0,9,4,9,9,-3,9,4
209,Zundert,266,4,3,1,0,-2,1,9,1,0,-2,2,-1,1,9,4,1,4,2,-3,0,1,2,1,4,3,1,1,9,1,2,1,9,2,-1,0,2,-1,-1,4,1,0,4,0,3,1,-2,3,-1,9,1,4,0,4,4,1,4,2,-2,9,3,4,1,4,4,0,-3,9,9,2,2,-2,3,4,4,-2,4,1,1,2,9,4,0,1,1,9,3,9,3,4,4,9,9,-1,1,9,4,-1,2,1,9,1,-1,1,4,0,-1,-1,-1,-1,1,9,-2,0,-1
210,Aalsmeer,292,-1,1,0,1,4,-3,3,-3,1,-2,0,-1,1,0,9,9,4,2,9,9,4,0,-1,1,9,9,9,9,0,1,1,9,1,4,-2,-2,4,4,4,1,9,3,1,2,2,0,1,-1,0,9,-1,-1,-2,9,1,0,4,9,-3,4,4,1,9,3,-2,0,-2,-1,1,4,2,4,9,1,1,3,1,9,0,2,-2,-3,9,1,9,1,4,4,4,2,-2,9,0,4,-2,-3,9,4,-1,-1,4,2,0,4,4,9,-2,0,1,0,-1,9,4,9
211,Alkmaar,206,0,-2,-2,-1,3,0,1,-2,0,4,9,1,0,1,9,1,4,-2,-3,0,-3,1,0,0,1,-1,3,4,0,4,9,-2,9,0,1,-3,-1,0,1,1,0,1,3,3,4,0,1,4,0,1,0,1,-1,-3,2,4,3,1,1,3,-3,2,0,9,0,3,1,0,1,-1,2,4,-2,1,1,3,4,-1,9,-2,4,9,9,-3,1,9,3,0,4,-1,-1,-2,2,9,1,2,9,1,9,2,9,2,0,1,9,0,-3,9,1,1,-2,1,4,3
212,Amstelveen,233,1,9,-1,2,-3,0,0,4,4,1,3,4,-3,4,2,4,3,0,0,1,-1,2,1,-1,-1,-1,4,4,1,-1,1,4,-3,1,4,-3,-3,2,0,-3,9,4,1,2,0,0,9,2,-3,4,0,1,-2,-1,3,9,0,1,9,-2,9,0,4,9,3,3,1,4,0,0,4,1,0,2,-2,9,-3,1,-3,0,0,-3,9,9,4,9,4,9,3,-2,1,2,-1,2,-2,3,0,1,0,3,3,9,9,1,0,9,4,4,-1,4,1,2,9,-2
213,Armenti,297,3,9,1,0,0,4,-1,4,2,-1,9,-3,3,2,2,1,0,1,-2,4,2,9,9,9,9,-3,-3,-3,2,-2,1,9,9,9,0,2,1,9,-1,0,-1,1,1,1,4,9,1,-2,9,1,1,-2,-2,3,-2,0,-2,9,9,9,9,1,4,1,1,9,3,4,3,0,4,1,1,1,-2,4,3,-3,4,3,1,4,-1,1,9,-3,1,9,3,4,9,4,1,0,3,-1,-2,0,9,9,3,0,1,9,1,3,-1,0,1,9,9,1,0,-3
214,Amsterdam,167,2,1,2,2,4,-1,9,-1,1,-2,0,9,-3,-1,-1,9,1,3,1,0,2,1,-1,-1,-1,0,0,1,-3,-1,4,-2,4,-1,1,1,2,9,0,4,4,1,1,2,0,0,-2,3,3,1,-2,4,-3,1,-3,1,4,0,1,1,1,-1,9,1,0,3,-2,1,-1,3,1,-3,-1,-3,4,9,9,0,-2,1,4,2,0,-1,4,-2,-1,0,1,9,-3,-1,9,0,0,1,0,0,1,2,4,1,4,3,3,4,9,3,1,-2,9,1,1,1
